account_id,english_name,dealer_code,year,month,monthly_value,yearly_value
6026DZ,% Return on Operating Investment,80475,2024,10,1.27,8.34
6026DZ,% Return on Operating Investment,80475,2024,11,2.22,10.56
6026DZ,% Return on Operating Investment,80475,2024,12,1.18,11.74
6025DZ,% Return on Sales (Before Income Tax),80475,2024,1,0.91,0.91
6036DZ,% Return on Sales (Before Income Tax),80475,2024,1,0.91,0.91
6036DZ,% Return on Sales (Before Income Tax),80475,2024,2,0.49,0.42
6025DZ,% Return on Sales (Before Income Tax),80475,2024,2,0.96,0.05
6036DZ,% Return on Sales (Before Income Tax),80475,2024,3,0.07,0.35
6025DZ,% Return on Sales (Before Income Tax),80475,2024,3,0.25,0.2
6036DZ,% Return on Sales (Before Income Tax),80475,2024,4,0.03,0.38
6025DZ,% Return on Sales (Before Income Tax),80475,2024,4,0.27,0.47
6036DZ,% Return on Sales (Before Income Tax),80475,2024,5,0.2,0.58
6025DZ,% Return on Sales (Before Income Tax),80475,2024,5,0.91,1.38
6036DZ,% Return on Sales (Before Income Tax),80475,2024,6,0.4,0.18
6025DZ,% Return on Sales (Before Income Tax),80475,2024,6,3.41,2.03
6036DZ,% Return on Sales (Before Income Tax),80475,2024,7,0.1,0.28
6025DZ,% Return on Sales (Before Income Tax),80475,2024,7,2.83,0.8
6025DZ,% Return on Sales (Before Income Tax),80475,2024,8,1.04,1.84
6036DZ,% Return on Sales (Before Income Tax),80475,2024,8,0.26,0.54
6036DZ,% Return on Sales (Before Income Tax),80475,2024,9,0.04,0.5
6025DZ,% Return on Sales (Before Income Tax),80475,2024,9,1.59,0.25
6025DZ,% Return on Sales (Before Income Tax),80475,2024,10,0.47,0.72
6036DZ,% Return on Sales (Before Income Tax),80475,2024,10,0.02,0.52
6025DZ,% Return on Sales (Before Income Tax),80475,2024,11,0.36,1.08
6036DZ,% Return on Sales (Before Income Tax),80475,2024,11,0.06,0.58
6036DZ,% Return on Sales (Before Income Tax),80475,2024,12,0.03,0.61
6025DZ,% Return on Sales (Before Income Tax),80475,2024,12,0.07,1.01
6112DZ,% of Labour Sales CP,80475,2024,1,41.07,41.07
6130DZ,% of Labour Sales CP,80475,2024,1,41.07,41.07
6148DZ,% of Labour Sales CP,80475,2024,2,8.37,8.37
6130DZ,% of Labour Sales CP,80475,2024,2,7.31,33.76
6112DZ,% of Labour Sales CP,80475,2024,2,15.68,25.39
6112DZ,% of Labour Sales CP,80475,2024,3,13.27,38.66
6148DZ,% of Labour Sales CP,80475,2024,3,11.69,3.32
6130DZ,% of Labour Sales CP,80475,2024,3,1.58,35.34
6130DZ,% of Labour Sales CP,80475,2024,4,7.26,42.6
6112DZ,% of Labour Sales CP,80475,2024,4,22.49,61.15
6148DZ,% of Labour Sales CP,80475,2024,4,15.23,18.55
6130DZ,% of Labour Sales CP,80475,2024,5,3.43,46.03
6112DZ,% of Labour Sales CP,80475,2024,5,2.95,58.2
6148DZ,% of Labour Sales CP,80475,2024,5,6.38,12.17
6148DZ,% of Labour Sales CP,80475,2024,6,7.82,4.35
6130DZ,% of Labour Sales CP,80475,2024,6,0.5,46.53
6112DZ,% of Labour Sales CP,80475,2024,6,7.32,50.88
6112DZ,% of Labour Sales CP,80475,2024,7,13.42,37.46
6148DZ,% of Labour Sales CP,80475,2024,7,11.76,7.41
6130DZ,% of Labour Sales CP,80475,2024,7,1.65,44.88
6130DZ,% of Labour Sales CP,80475,2024,8,0.05,44.93
6112DZ,% of Labour Sales CP,80475,2024,8,7.86,45.32
6148DZ,% of Labour Sales CP,80475,2024,8,7.8,0.39
6148DZ,% of Labour Sales CP,80475,2024,9,1.46,1.07
6112DZ,% of Labour Sales CP,80475,2024,9,1.58,43.74
6130DZ,% of Labour Sales CP,80475,2024,9,0.12,44.81
6148DZ,% of Labour Sales CP,80475,2024,10,7.51,6.44
6130DZ,% of Labour Sales CP,80475,2024,10,0.8,45.61
6112DZ,% of Labour Sales CP,80475,2024,10,8.3,52.04
6148DZ,% of Labour Sales CP,80475,2024,11,14.33,20.77
6112DZ,% of Labour Sales CP,80475,2024,11,17.07,69.11
6130DZ,% of Labour Sales CP,80475,2024,11,2.73,48.34
6148DZ,% of Labour Sales CP,80475,2024,12,21.23,0.46
6130DZ,% of Labour Sales CP,80475,2024,12,0.04,48.3
6112DZ,% of Labour Sales CP,80475,2024,12,21.26,47.85
6116DZ,% of Labour Sales Internal,80475,2024,1,54.23,54.23
6134DZ,% of Labour Sales Internal,80475,2024,1,54.23,54.23
6134DZ,% of Labour Sales Internal,80475,2024,2,6.35,60.58
6152DZ,% of Labour Sales Internal,80475,2024,2,7.26,7.26
6116DZ,% of Labour Sales Internal,80475,2024,2,13.61,67.84
6152DZ,% of Labour Sales Internal,80475,2024,3,11.61,4.35
6134DZ,% of Labour Sales Internal,80475,2024,3,2.08,58.5
6116DZ,% of Labour Sales Internal,80475,2024,3,13.69,54.15
6152DZ,% of Labour Sales Internal,80475,2024,4,12.95,17.3
6134DZ,% of Labour Sales Internal,80475,2024,4,6.77,51.73
6116DZ,% of Labour Sales Internal,80475,2024,4,19.71,34.44
6116DZ,% of Labour Sales Internal,80475,2024,5,1.62,36.06
6152DZ,% of Labour Sales Internal,80475,2024,5,5.07,12.23
6134DZ,% of Labour Sales Internal,80475,2024,5,3.44,48.29
6152DZ,% of Labour Sales Internal,80475,2024,6,5.31,6.92
6134DZ,% of Labour Sales Internal,80475,2024,6,0.79,47.5
6116DZ,% of Labour Sales Internal,80475,2024,6,4.51,40.57
6152DZ,% of Labour Sales Internal,80475,2024,7,12.76,5.84
6134DZ,% of Labour Sales Internal,80475,2024,7,1.3,48.8
6116DZ,% of Labour Sales Internal,80475,2024,7,14.07,54.64
6134DZ,% of Labour Sales Internal,80475,2024,8,0.57,48.23
6116DZ,% of Labour Sales Internal,80475,2024,8,10.62,44.02
6152DZ,% of Labour Sales Internal,80475,2024,8,10.06,4.22
6134DZ,% of Labour Sales Internal,80475,2024,9,0.14,48.09
6152DZ,% of Labour Sales Internal,80475,2024,9,2.93,1.29
6116DZ,% of Labour Sales Internal,80475,2024,9,2.79,46.81
6152DZ,% of Labour Sales Internal,80475,2024,10,5.58,6.87
6116DZ,% of Labour Sales Internal,80475,2024,10,6.44,40.37
6134DZ,% of Labour Sales Internal,80475,2024,10,0.84,47.25
6152DZ,% of Labour Sales Internal,80475,2024,11,13.57,20.44
6134DZ,% of Labour Sales Internal,80475,2024,11,2.69,44.56
6116DZ,% of Labour Sales Internal,80475,2024,11,16.25,24.12
6152DZ,% of Labour Sales Internal,80475,2024,12,18.91,1.53
6134DZ,% of Labour Sales Internal,80475,2024,12,0.13,44.43
6116DZ,% of Labour Sales Internal,80475,2024,12,18.78,42.9
6113DZ,% of Labour Sales Warranty,80475,2024,1,4.69,4.69
6131DZ,% of Labour Sales Warranty,80475,2024,1,4.69,4.69
6149DZ,% of Labour Sales Warranty,80475,2024,2,1.11,1.11
6131DZ,% of Labour Sales Warranty,80475,2024,2,0.97,5.66
6113DZ,% of Labour Sales Warranty,80475,2024,2,2.08,6.77
6149DZ,% of Labour Sales Warranty,80475,2024,3,0.07,1.04
6113DZ,% of Labour Sales Warranty,80475,2024,3,0.42,7.19
6131DZ,% of Labour Sales Warranty,80475,2024,3,0.5,6.16
6131DZ,% of Labour Sales Warranty,80475,2024,4,0.49,5.67
6113DZ,% of Labour Sales Warranty,80475,2024,4,2.78,4.41
6149DZ,% of Labour Sales Warranty,80475,2024,4,2.3,1.26
6131DZ,% of Labour Sales Warranty,80475,2024,5,0.01,5.68
6113DZ,% of Labour Sales Warranty,80475,2024,5,1.33,5.74
6149DZ,% of Labour Sales Warranty,80475,2024,5,1.32,0.06
6149DZ,% of Labour Sales Warranty,80475,2024,6,2.51,2.57
6131DZ,% of Labour Sales Warranty,80475,2024,6,0.3,5.98
6113DZ,% of Labour Sales Warranty,80475,2024,6,2.81,8.55
6113DZ,% of Labour Sales Warranty,80475,2024,7,0.65,7.9
6149DZ,% of Labour Sales Warranty,80475,2024,7,1,1.57
6131DZ,% of Labour Sales Warranty,80475,2024,7,0.35,6.33
6131DZ,% of Labour Sales Warranty,80475,2024,8,0.51,6.84
6113DZ,% of Labour Sales Warranty,80475,2024,8,2.77,10.67
6149DZ,% of Labour Sales Warranty,80475,2024,8,2.26,3.83
6131DZ,% of Labour Sales Warranty,80475,2024,9,0.25,7.09
6149DZ,% of Labour Sales Warranty,80475,2024,9,1.47,2.36
6113DZ,% of Labour Sales Warranty,80475,2024,9,1.22,9.45
6149DZ,% of Labour Sales Warranty,80475,2024,10,1.92,0.44
6131DZ,% of Labour Sales Warranty,80475,2024,10,0.06,7.15
6113DZ,% of Labour Sales Warranty,80475,2024,10,1.87,7.58
6113DZ,% of Labour Sales Warranty,80475,2024,11,0.81,6.77
6149DZ,% of Labour Sales Warranty,80475,2024,11,0.77,0.33
6131DZ,% of Labour Sales Warranty,80475,2024,11,0.05,7.1
6113DZ,% of Labour Sales Warranty,80475,2024,12,2.48,9.25
6149DZ,% of Labour Sales Warranty,80475,2024,12,2.32,1.99
6131DZ,% of Labour Sales Warranty,80475,2024,12,0.17,7.27
1450UU,Cars,80475,2024,1,7,7
24000UU,Cars,80475,2024,1,40,40
1495UU,Cars,80475,2024,1,33,33
1450UU,Cars,80475,2024,2,7,14
24000UU,Cars,80475,2024,2,37,77
1495UU,Cars,80475,2024,2,30,63
1450UU,Cars,80475,2024,3,23,37
24000UU,Cars,80475,2024,3,57,134
1495UU,Cars,80475,2024,3,34,97
1450UU,Cars,80475,2024,4,10,47
24000UU,Cars,80475,2024,4,46,180
1495UU,Cars,80475,2024,4,36,133
1450UU,Cars,80475,2024,5,6,53
24000UU,Cars,80475,2024,5,41,221
1495UU,Cars,80475,2024,5,35,168
1450UU,Cars,80475,2024,6,15,68
24000UU,Cars,80475,2024,6,56,277
1495UU,Cars,80475,2024,6,41,209
1495UU,Cars,80475,2024,7,44,253
1450UU,Cars,80475,2024,7,6,74
24000UU,Cars,80475,2024,7,50,327
1450UU,Cars,80475,2024,8,6,80
24000UU,Cars,80475,2024,8,55,382
1495UU,Cars,80475,2024,8,49,302
1450UU,Cars,80475,2024,9,8,88
24000UU,Cars,80475,2024,9,50,432
1495UU,Cars,80475,2024,9,42,344
1450UU,Cars,80475,2024,10,1,89
24000UU,Cars,80475,2024,10,40,472
1495UU,Cars,80475,2024,10,39,383
1450UU,Cars,80475,2024,11,12,101
24000UU,Cars,80475,2024,11,50,522
1495UU,Cars,80475,2024,11,38,421
1450UU,Cars,80475,2024,12,5,106
24000UU,Cars,80475,2024,12,38,560
1495UU,Cars,80475,2024,12,33,454
1420QTU,Cars,80475,2024,1,11,11
1420QTU,Cars,80475,2024,2,10,21
1420QTU,Cars,80475,2024,3,9,30
1420QTU,Cars,80475,2024,4,7,37
1420QTU,Cars,80475,2024,5,10,47
1420QTU,Cars,80475,2024,6,10,57
1420QTU,Cars,80475,2024,7,14,71
1420QTU,Cars,80475,2024,8,8,79
1420QTU,Cars,80475,2024,9,20,99
1420QTU,Cars,80475,2024,10,17,116
1420QTU,Cars,80475,2024,11,10,126
1420QTU,Cars,80475,2024,12,12,138
1420PTU,Cars,80475,2024,1,21,21
1420PTU,Cars,80475,2024,2,27,48
1420PTU,Cars,80475,2024,3,34,82
1420PTU,Cars,80475,2024,4,38,120
1420PTU,Cars,80475,2024,5,31,151
1420PTU,Cars,80475,2024,6,24,175
1420PTU,Cars,80475,2024,7,20,195
1420PTU,Cars,80475,2024,8,19,214
1420PTU,Cars,80475,2024,9,27,241
1420PTU,Cars,80475,2024,10,25,266
1420PTU,Cars,80475,2024,11,35,301
1420PTU,Cars,80475,2024,12,42,343
1420OTU,Cars,80475,2024,1,23,23
1420OTU,Cars,80475,2024,2,18,41
1420OTU,Cars,80475,2024,3,12,53
1420OTU,Cars,80475,2024,4,6,59
1420OTU,Cars,80475,2024,5,16,75
1420OTU,Cars,80475,2024,6,21,96
1420OTU,Cars,80475,2024,7,29,125
1420OTU,Cars,80475,2024,8,21,146
1420OTU,Cars,80475,2024,9,16,162
1420OTU,Cars,80475,2024,10,16,178
1420OTU,Cars,80475,2024,11,21,199
1420OTU,Cars,80475,2024,12,26,225
1420RTU,Cars,80475,2024,1,9,9
1420RTU,Cars,80475,2024,2,9,18
1420RTU,Cars,80475,2024,3,8,26
1420RTU,Cars,80475,2024,4,9,35
1420RTU,Cars,80475,2024,5,10,45
1420RTU,Cars,80475,2024,6,11,56
1420RTU,Cars,80475,2024,7,9,65
1420RTU,Cars,80475,2024,8,8,73
1420RTU,Cars,80475,2024,9,8,81
1420RTU,Cars,80475,2024,10,7,88
1420RTU,Cars,80475,2024,11,4,92
1420RTU,Cars,80475,2024,12,4,96
1450VV,Cars,80475,2024,1,15,15
1450VV,Cars,80475,2024,2,19,34
1450VV,Cars,80475,2024,3,0,34
1450VV,Cars,80475,2024,4,13,47
1450VV,Cars,80475,2024,5,15,62
1450VV,Cars,80475,2024,6,7,69
1450VV,Cars,80475,2024,7,17,86
1450VV,Cars,80475,2024,8,11,97
1450VV,Cars,80475,2024,9,13,110
1450VV,Cars,80475,2024,10,19,129
1450VV,Cars,80475,2024,11,15,144
1450VV,Cars,80475,2024,12,22,166
24000VV,Cars,80475,2024,1,15,15
24000VV,Cars,80475,2024,2,19,34
24000VV,Cars,80475,2024,3,0,34
24000VV,Cars,80475,2024,4,13,47
24000VV,Cars,80475,2024,5,15,62
24000VV,Cars,80475,2024,6,7,69
24000VV,Cars,80475,2024,7,17,86
24000VV,Cars,80475,2024,8,11,97
24000VV,Cars,80475,2024,9,13,110
24000VV,Cars,80475,2024,10,19,129
24000VV,Cars,80475,2024,11,15,144
24000VV,Cars,80475,2024,12,22,166
1400MCU,( Mirage ),80475,2024,1,1,1
1400MCU,( Mirage ),80475,2024,2,0,1
1400MCU,( Mirage ),80475,2024,3,0,1
1400MCU,( Mirage ),80475,2024,4,0,1
1400MCU,( Mirage ),80475,2024,5,0,1
1400MCU,( Mirage ),80475,2024,6,2,3
1400MCU,( Mirage ),80475,2024,7,3,6
1400MCU,( Mirage ),80475,2024,8,4,10
1400MCU,( Mirage ),80475,2024,9,3,13
1400MCU,( Mirage ),80475,2024,10,2,15
1400MCU,( Mirage ),80475,2024,11,5,20
1400MCU,( Mirage ),80475,2024,12,5,25
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,1,822308,822308
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,2,647905,1470213
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,3,917728,2387941
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,4,874644,3262585
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,5,879462,4142047
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,6,867833,5009880
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,7,855068,5864948
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,8,862299,6727247
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,9,859027,7586274
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,10,840200,8426474
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,11,810164,9236638
800000D,(Assets Line 50 minus Liabilities Line 27),80475,2024,12,726631,9963269
6029DZ,pluse/minus,80475,2024,1,822308,822308
6029DZ,pluse/minus,80475,2024,2,174403,647905
6029DZ,pluse/minus,80475,2024,3,269823,917728
6029DZ,pluse/minus,80475,2024,4,43084,874644
6029DZ,pluse/minus,80475,2024,5,4818,879462
6029DZ,pluse/minus,80475,2024,6,11629,867833
6029DZ,pluse/minus,80475,2024,7,12765,855068
6029DZ,pluse/minus,80475,2024,8,7231,862299
6029DZ,pluse/minus,80475,2024,9,3272,859027
6029DZ,pluse/minus,80475,2024,10,18827,840200
6029DZ,pluse/minus,80475,2024,11,30036,810164
6029DZ,pluse/minus,80475,2024,12,83533,726631
50040ST,0 - 3 Months ,80475,2024,1,625,625
50045ST,0 - 3 Months ,80475,2024,1,86599,86599
50040ST,0 - 3 Months ,80475,2024,2,625,1250
50045ST,0 - 3 Months ,80475,2024,2,86599,173198
50045ST,0 - 3 Months ,80475,2024,3,78975,252173
50040ST,0 - 3 Months ,80475,2024,3,530,1780
50045ST,0 - 3 Months ,80475,2024,4,58658,310831
50040ST,0 - 3 Months ,80475,2024,4,502,2282
50045ST,0 - 3 Months ,80475,2024,5,83992,394823
50040ST,0 - 3 Months ,80475,2024,5,430,2712
50040ST,0 - 3 Months ,80475,2024,6,473,3185
50045ST,0 - 3 Months ,80475,2024,6,54049,448872
50045ST,0 - 3 Months ,80475,2024,7,47046,495918
50040ST,0 - 3 Months ,80475,2024,7,533,3718
50045ST,0 - 3 Months ,80475,2024,8,60953,556871
50040ST,0 - 3 Months ,80475,2024,8,589,4307
50045ST,0 - 3 Months ,80475,2024,9,66676,623547
50040ST,0 - 3 Months ,80475,2024,9,607,4914
50045ST,0 - 3 Months ,80475,2024,10,77761,701308
50040ST,0 - 3 Months ,80475,2024,10,642,5556
50045ST,0 - 3 Months ,80475,2024,11,81868,783176
50040ST,0 - 3 Months ,80475,2024,11,607,6163
50045ST,0 - 3 Months ,80475,2024,12,76474,859650
50040ST,0 - 3 Months ,80475,2024,12,609,6772
50035ST,1 - 30 Days,80475,2024,1,545352,545352
50035ST,1 - 30 Days,80475,2024,2,383475,928827
50035ST,1 - 30 Days,80475,2024,3,309238,1238065
50035ST,1 - 30 Days,80475,2024,4,198993,1437058
50035ST,1 - 30 Days,80475,2024,5,357643,1794701
50035ST,1 - 30 Days,80475,2024,6,228842,2023543
50035ST,1 - 30 Days,80475,2024,7,226605,2250148
50035ST,1 - 30 Days,80475,2024,8,201081,2451229
50035ST,1 - 30 Days,80475,2024,9,276306,2727535
50035ST,1 - 30 Days,80475,2024,10,357008,3084543
50035ST,1 - 30 Days,80475,2024,11,526540,3611083
50035ST,1 - 30 Days,80475,2024,12,146176,3757259
50020ST,1 - 30 Days ,80475,2024,1,39,39
50025ST,1 - 30 Days ,80475,2024,1,1616492,1616492
50020ST,1 - 30 Days ,80475,2024,2,21,60
50025ST,1 - 30 Days ,80475,2024,2,959281,2575773
50020ST,1 - 30 Days ,80475,2024,3,14,74
50025ST,1 - 30 Days ,80475,2024,3,716526,3292299
50025ST,1 - 30 Days ,80475,2024,4,638284,3930583
50020ST,1 - 30 Days ,80475,2024,4,12,86
50020ST,1 - 30 Days ,80475,2024,5,23,109
50025ST,1 - 30 Days ,80475,2024,5,1053656,4984239
50020ST,1 - 30 Days ,80475,2024,6,17,126
50025ST,1 - 30 Days ,80475,2024,6,672593,5656832
50020ST,1 - 30 Days ,80475,2024,7,21,147
50025ST,1 - 30 Days ,80475,2024,7,859582,6516414
50020ST,1 - 30 Days ,80475,2024,8,15,162
50025ST,1 - 30 Days ,80475,2024,8,636105,7152519
50020ST,1 - 30 Days ,80475,2024,9,34,196
50025ST,1 - 30 Days ,80475,2024,9,1434431,8586950
50020ST,1 - 30 Days ,80475,2024,10,10,206
50025ST,1 - 30 Days ,80475,2024,10,474728,9061678
50020ST,1 - 30 Days ,80475,2024,11,30,236
50025ST,1 - 30 Days ,80475,2024,11,1288732,10350410
50020ST,1 - 30 Days ,80475,2024,12,25,261
50025ST,1 - 30 Days ,80475,2024,12,1149041,11499451
50048ST,12+ Months ,80475,2024,1,71963,71963
50043ST,12+ Months ,80475,2024,1,1793,1793
50048ST,12+ Months ,80475,2024,2,74559,146522
50043ST,12+ Months ,80475,2024,2,2313,4106
50048ST,12+ Months ,80475,2024,3,78357,224879
50043ST,12+ Months ,80475,2024,3,1855,5961
50048ST,12+ Months ,80475,2024,4,86616,311495
50043ST,12+ Months ,80475,2024,4,1911,7872
50043ST,12+ Months ,80475,2024,5,1844,9716
50048ST,12+ Months ,80475,2024,5,116168,427663
50043ST,12+ Months ,80475,2024,6,2026,11742
50048ST,12+ Months ,80475,2024,6,91279,518942
50048ST,12+ Months ,80475,2024,7,92733,611675
50043ST,12+ Months ,80475,2024,7,2086,13828
50048ST,12+ Months ,80475,2024,8,96301,707976
50043ST,12+ Months ,80475,2024,8,2492,16320
50048ST,12+ Months ,80475,2024,9,101785,809761
50043ST,12+ Months ,80475,2024,9,2125,18445
50048ST,12+ Months ,80475,2024,10,124438,934199
50043ST,12+ Months ,80475,2024,10,2193,20638
50043ST,12+ Months ,80475,2024,11,2285,22923
50048ST,12+ Months ,80475,2024,11,118799,1052998
50048ST,12+ Months ,80475,2024,12,122203,1175201
50043ST,12+ Months ,80475,2024,12,2691,25614
50036ST,31 - 60 Days,80475,2024,1,133281,133281
50021ST,31 - 60 Days,80475,2024,1,8,8
50031ST,31 - 60 Days,80475,2024,1,39,39
50026ST,31 - 60 Days,80475,2024,1,349913,349913
50021ST,31 - 60 Days,80475,2024,2,17,25
50031ST,31 - 60 Days,80475,2024,2,38,77
50026ST,31 - 60 Days,80475,2024,2,771559,1121472
50036ST,31 - 60 Days,80475,2024,2,249907,383188
50026ST,31 - 60 Days,80475,2024,3,540333,1661805
50021ST,31 - 60 Days,80475,2024,3,12,37
50031ST,31 - 60 Days,80475,2024,3,28,105
50036ST,31 - 60 Days,80475,2024,3,181259,564447
50026ST,31 - 60 Days,80475,2024,4,503978,2165783
50036ST,31 - 60 Days,80475,2024,4,199314,763761
50021ST,31 - 60 Days,80475,2024,4,9,46
50031ST,31 - 60 Days,80475,2024,4,26,131
50026ST,31 - 60 Days,80475,2024,5,708018,2873801
50036ST,31 - 60 Days,80475,2024,5,84030,847791
50021ST,31 - 60 Days,80475,2024,5,14,60
50031ST,31 - 60 Days,80475,2024,5,21,152
50036ST,31 - 60 Days,80475,2024,6,274692,1122483
50021ST,31 - 60 Days,80475,2024,6,19,79
50031ST,31 - 60 Days,80475,2024,6,29,181
50026ST,31 - 60 Days,80475,2024,6,805162,3678963
50026ST,31 - 60 Days,80475,2024,7,572709,4251672
50036ST,31 - 60 Days,80475,2024,7,161149,1283632
50021ST,31 - 60 Days,80475,2024,7,14,93
50031ST,31 - 60 Days,80475,2024,7,27,208
50026ST,31 - 60 Days,80475,2024,8,486133,4737805
50021ST,31 - 60 Days,80475,2024,8,12,105
50031ST,31 - 60 Days,80475,2024,8,25,233
50036ST,31 - 60 Days,80475,2024,8,101939,1385571
50026ST,31 - 60 Days,80475,2024,9,541138,5278943
50036ST,31 - 60 Days,80475,2024,9,50511,1436082
50021ST,31 - 60 Days,80475,2024,9,12,117
50031ST,31 - 60 Days,80475,2024,9,30,263
50021ST,31 - 60 Days,80475,2024,10,28,145
50031ST,31 - 60 Days,80475,2024,10,20,283
50026ST,31 - 60 Days,80475,2024,10,1223016,6501959
50036ST,31 - 60 Days,80475,2024,10,49665,1485747
50026ST,31 - 60 Days,80475,2024,11,296995,6798954
50036ST,31 - 60 Days,80475,2024,11,356354,1842101
50021ST,31 - 60 Days,80475,2024,11,6,151
50031ST,31 - 60 Days,80475,2024,11,31,314
50026ST,31 - 60 Days,80475,2024,12,1131062,7930016
50021ST,31 - 60 Days,80475,2024,12,25,176
50031ST,31 - 60 Days,80475,2024,12,25,339
50036ST,31 - 60 Days,80475,2024,12,503018,2345119
50046ST,4 - 6 Months,80475,2024,1,18029,18029
50041ST,4 - 6 Months,80475,2024,1,298,298
50041ST,4 - 6 Months,80475,2024,2,298,596
